Frame#,L.FX,L.FY,L.FZ,L.X,L.Y,L.Z,L.MFree
159,4.022964,1.323166,814.154663,329.980865,205.542084,0,-0.029839
160,3.716286,1.093346,814.384949,330.198395,205.45607,0,-0.038257
161,3.255074,1.137398,814.343445,330.351105,205.504715,0,-0.039063
162,3.3022,1.241913,814.522522,330.380188,205.508667,0,-0.030339
163,3.427521,1.291351,813.622131,330.516205,205.510147,0,-0.055294
164,3.430321,1.327186,813.80127,330.63501,205.51651,0,-0.06327
165,3.38755,1.099411,813.352661,330.909546,205.525558,0,-0.035939
166,3.229561,1.122719,813.532104,331.111908,205.595078,0,-0.028345
167,2.943916,1.144287,813.711548,331.285431,205.686722,0,-0.064963
168,2.834503,1.086868,814.113953,331.535248,205.802567,0,-0.041733
169,2.942146,1.066795,814.248596,331.692017,205.771103,0,-0.023418
170,3.175064,0.964813,813.83783,331.84079,205.900589,0,-0.040954
171,3.200371,0.873268,813.700623,331.988892,205.997147,0,-0.005028
172,2.973038,0.664543,813.60968,332.211426,206.134552,0,0.01052
173,2.731361,0.580681,813.517456,332.302063,206.306137,0,-0.003166
174,2.783554,0.385872,813.784485,332.505829,206.376526,0,-0.002839
175,2.776169,0.491646,813.962402,332.732574,206.433136,0,0.006576
176,2.767426,0.341858,813.688599,332.929199,206.586716,0,0.004384
177,2.496506,0.097664,813.593323,333.277832,206.853806,0,-0.045433
178,1.984039,-0.157227,813.775696,333.634247,206.908249,0,-0.124015
179,1.768661,-0.214417,813.639954,333.91983,207.001511,0,-0.152484
180,1.763412,-0.290413,813.505554,334.317841,207.00943,0,-0.10582
181,1.478645,-0.03508,813.687073,334.632233,207.046539,0,-0.082759
182,0.0,0.0,0.0,0.0,0.0,0,0.0
