Frame#,L.FX,L.FY,L.FZ,L.X,L.Y,L.Z,L.MFree
127,0.040001,0.824547,756.480835,321.567261,207.356018,0,0.080615
128,0.583824,0.816017,756.972595,321.392181,207.247314,0,0.119734
129,1.011452,0.910797,757.737732,321.127594,207.007843,0,0.103306
130,1.323204,0.934433,758.185364,320.927277,206.92424,0,0.073434
131,1.21302,1.08091,758.323975,320.568298,206.829041,0,0.07553
132,1.703171,1.046982,757.916931,320.18042,206.748215,0,0.084942
133,2.30838,1.072556,757.465942,319.765442,206.570969,0,0.073694
134,2.635605,1.006035,756.343689,319.524353,206.41861,0,0.075929
135,2.432915,1.003082,755.898132,319.291931,206.364441,0,0.065462
136,2.440956,1.211044,755.629333,319.219574,206.333542,0,0.077552
137,2.532646,1.292274,755.945679,319.111938,206.252548,0,0.127926
138,2.801117,1.211021,756.66095,318.99527,206.267929,0,0.104312
139,2.840012,1.164253,757.423584,318.99704,206.25618,0,0.051181
140,2.898338,1.290352,757.96228,318.898102,206.231049,0,0.029045
141,3.246246,1.40789,758.409058,318.829926,206.179184,0,0.035449
142,3.200912,1.30352,758.771484,318.760651,206.094803,0,0.048311
143,3.246994,1.257668,758.907959,318.68808,206.014755,0,0.041424
144,3.010712,1.119217,758.061401,318.597198,205.846603,0,0.024886
145,3.031326,1.431664,758.017578,318.52243,205.739624,0,-0.043422
146,3.441978,1.596825,757.296692,318.374725,205.633392,0,-0.060237
147,3.809914,1.866234,757.160522,318.315063,205.50975,0,-0.082207
148,3.915802,1.819412,758.015808,318.145111,205.389496,0,-0.108853
149,3.39312,1.748306,757.75647,318.109741,205.213867,0,-0.121195
150,2.884834,1.745422,758.169617,318.089874,205.100937,0,-0.10368
151,2.847923,1.977654,758.174072,318.036621,204.948776,0,-0.081309
152,3.216103,2.05011,758.038147,317.946106,204.850906,0,-0.062931
153,3.502228,2.062912,757.811768,317.79892,204.808365,0,-0.056991
154,3.376961,1.902367,757.815796,317.883392,204.713913,0,-0.052841
155,2.830719,1.93718,756.83551,318.070679,204.633377,0,-0.046508
156,2.182755,1.91069,757.025757,318.064758,204.507996,0,-0.033772
157,1.745689,2.002762,757.12146,318.270813,204.462311,0,-0.017284
158,1.9226,2.026413,757.838379,318.272217,204.468414,0,-0.003653
159,2.124428,1.704369,758.375793,318.32959,204.4814,0,0.023677
160,2.041626,1.90152,757.881592,318.398254,204.456131,0,-0.050219
161,1.627075,1.864372,758.246521,318.444092,204.426697,0,-0.038107
162,1.277863,1.864235,757.441895,318.576965,204.421204,0,-0.027426
163,0.977104,1.757957,757.399902,318.589233,204.445267,0,-0.016477
164,1.010406,1.689484,756.904907,318.621155,204.46666,0,-0.011834
165,1.068085,1.597496,756.724304,318.629913,204.487808,0,-0.0082
166,0.975937,1.642181,756.948853,318.615326,204.52655,0,-0.002897
167,0.84977,1.653969,757.08667,318.643982,204.438126,0,-0.039074
168,0.641335,1.723007,757.136169,318.663788,204.357803,0,-0.024509
169,0.409943,1.777885,757.724487,318.543488,204.307266,0,0.00338
170,0.370193,1.810066,757.5914310000001,318.313293,204.311646,0,0.081236
171,0.808807,1.810844,757.810669,318.144226,204.333649,0,0.069097
172,1.406815,1.791565,757.447266,317.953796,204.229446,0,0.039199
173,1.526894,1.894806,756.90863,317.69165,204.177872,0,0.060111
174,1.211578,1.902275,757.229248,317.445679,204.074066,0,0.056003
175,1.105072,1.817696,757.500488,317.210541,204.080658,0,0.073846
176,1.588402,1.897186,758.350342,316.774628,204.003754,0,0.031879
177,1.732796,1.928993,758.168213,316.461792,204.060684,0,0.058021
178,2.130249,1.903725,757.984253,316.003265,204.069626,0,0.046713
179,2.506622,1.901878,758.296631,315.539429,203.993683,0,0.031347
180,2.627251,1.589447,757.489624,315.240143,203.898315,0,0.014688
181,2.687233,1.74778,756.904419,314.854828,203.908737,0,-0.008536
182,2.712791,1.757072,756.142029,314.525513,203.895355,0,0.051521
183,0.0,0.0,0.0,0.0,0.0,0,0.0
